id,title,description,complete,creation_date
1,Pagar las facturas,Llevar el coche al taller para revisión,True,2024-02-11 18:52:25
2,Cocinar la cena,Programa una cita para el chequeo anual,True,2024-02-15 18:52:25
3,Cocinar la cena,"Limpiar la sala, cocina y baño",False,2023-09-08 18:52:25
4,Enviar correo a Juan,Pagar las facturas de servicios públicos,True,2023-09-17 18:52:25
5,Enviar correo a Juan,Llevar el coche al taller para revisión,True,2023-11-16 18:52:25
6,Enviar correo a Juan,Revisar las últimas actualizaciones de Angular,False,2024-05-30 18:52:25
7,Estudiar Angular,Pagar las facturas de servicios públicos,False,2023-11-05 18:52:25
8,Revisar el coche,Pagar las facturas de servicios públicos,True,2023-11-25 18:52:25
9,Pagar las facturas,Enviar un correo electrónico sobre el proyecto,False,2023-11-08 18:52:25
10,Limpiar la casa,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2024-06-10 18:52:25
11,Pagar las facturas,"Limpiar la sala, cocina y baño",True,2024-01-12 18:52:25
12,Estudiar Angular,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2023-12-02 18:52:25
13,Hacer ejercicio,Programa una cita para el chequeo anual,False,2024-03-26 18:52:25
14,Cocinar la cena,Compra los artículos de la lista,True,2024-02-12 18:52:25
15,Leer un libro,Pagar las facturas de servicios públicos,True,2023-08-29 18:52:25
16,Estudiar Angular,Compra los artículos de la lista,True,2023-10-15 18:52:25
17,Enviar correo a Juan,Enviar un correo electrónico sobre el proyecto,True,2023-06-29 18:52:25
18,Ir al supermercado,Programa una cita para el chequeo anual,True,2023-09-21 18:52:25
19,Revisar el coche,Programa una cita para el chequeo anual,False,2024-02-06 18:52:25
20,Enviar correo a Juan,"Limpiar la sala, cocina y baño",False,2023-07-11 18:52:25
21,Pagar las facturas,Llevar el coche al taller para revisión,False,2023-11-13 18:52:25
22,Pagar las facturas,Revisar las últimas actualizaciones de Angular,False,2023-07-07 18:52:25
23,Revisar el coche,Leer al menos un capítulo del libro,True,2023-07-04 18:52:25
24,Limpiar la casa,Revisar las últimas actualizaciones de Angular,False,2023-07-23 18:52:25
25,Revisar el coche,Enviar un correo electrónico sobre el proyecto,False,2024-02-24 18:52:25
26,Hacer ejercicio,Preparar una cena saludable,True,2024-06-11 18:52:25
27,Cocinar la cena,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-11-19 18:52:25
28,Estudiar Angular,Preparar una cena saludable,True,2024-06-09 18:52:25
29,Leer un libro,Enviar un correo electrónico sobre el proyecto,False,2024-04-10 18:52:25
30,Cocinar la cena,Llevar el coche al taller para revisión,False,2024-03-08 18:52:25
31,Llamar al médico,Preparar una cena saludable,True,2024-01-25 18:52:25
32,Limpiar la casa,Compra los artículos de la lista,True,2023-09-12 18:52:25
33,Ir al supermercado,"Limpiar la sala, cocina y baño",True,2024-04-27 18:52:25
34,Llamar al médico,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2024-06-12 18:52:25
35,Llamar al médico,Leer al menos un capítulo del libro,False,2024-02-04 18:52:25
36,Leer un libro,"Limpiar la sala, cocina y baño",False,2024-04-23 18:52:25
37,Estudiar Angular,Preparar una cena saludable,True,2024-06-02 18:52:25
38,Llamar al médico,Revisar las últimas actualizaciones de Angular,True,2024-02-21 18:52:25
39,Estudiar Angular,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2024-03-23 18:52:25
40,Estudiar Angular,Preparar una cena saludable,False,2024-03-27 18:52:25
41,Leer un libro,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-06-26 18:52:25
42,Cocinar la cena,Llevar el coche al taller para revisión,False,2024-03-27 18:52:25
43,Limpiar la casa,Programa una cita para el chequeo anual,True,2024-04-13 18:52:25
44,Pagar las facturas,Pagar las facturas de servicios públicos,False,2023-06-18 18:52:25
45,Enviar correo a Juan,Enviar un correo electrónico sobre el proyecto,True,2023-08-09 18:52:25
46,Limpiar la casa,Programa una cita para el chequeo anual,False,2023-10-12 18:52:25
47,Cocinar la cena,Enviar un correo electrónico sobre el proyecto,False,2023-08-04 18:52:25
48,Limpiar la casa,Llevar el coche al taller para revisión,True,2024-04-30 18:52:25
49,Estudiar Angular,Compra los artículos de la lista,True,2024-02-23 18:52:25
50,Revisar el coche,Revisar las últimas actualizaciones de Angular,True,2023-09-06 18:52:25
51,Hacer ejercicio,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2024-02-18 18:52:25
52,Limpiar la casa,Llevar el coche al taller para revisión,True,2023-08-16 18:52:25
53,Estudiar Angular,Llevar el coche al taller para revisión,True,2024-06-06 18:52:25
54,Llamar al médico,Preparar una cena saludable,True,2024-02-13 18:52:25
55,Cocinar la cena,Leer al menos un capítulo del libro,True,2023-09-26 18:52:25
56,Leer un libro,"Limpiar la sala, cocina y baño",True,2023-08-10 18:52:25
57,Estudiar Angular,Preparar una cena saludable,True,2023-07-26 18:52:25
58,Ir al supermercado,Preparar una cena saludable,False,2024-05-08 18:52:25
59,Llamar al médico,Llevar el coche al taller para revisión,False,2024-01-14 18:52:25
60,Leer un libro,Preparar una cena saludable,True,2023-10-29 18:52:25
